%Iter	duration	train_objective	valid_objective	difference
0	135.0	-7.94588	-7.94585	3e-05
1	116.0	-2.60685	-2.53611	0.07074
2	116.0	-2.45543	-2.37448	0.08095
3	115.0	-2.45581	-2.38795	0.06786
4	115.0	-2.52426	-2.45835	0.06591
5	116.0	-2.38801	-2.3192	0.06881
6	116.0	-2.36951	-2.30439	0.06512
7	116.0	-2.37072	-2.34315	0.02757
8	117.0	-2.37371	-2.31153	0.06218
9	118.0	-2.31713	-2.27101	0.04612
10	118.0	-2.31135	-2.28442	0.02693
11	116.0	-2.27917	-2.21281	0.06636
12	116.0	-2.28006	-2.20979	0.07027
13	116.0	-2.24758	-2.19382	0.05376
14	116.0	-2.3524	-2.30743	0.04497
15	115.0	-2.25759	-2.21278	0.04481
16	116.0	-2.24627	-2.19841	0.04786
17	120.0	-2.21665	-2.1759	0.04075
18	120.0	-2.33318	-2.29505	0.03813
19	121.0	-2.18531	-2.16138	0.02393
20	133.0	-2.18979	-2.1086	0.08119
21	119.0	-2.1635	-2.10874	0.05476
22	120.0	-2.16213	-2.10304	0.05909
23	120.0	-2.13953	-2.08602	0.05351
24	120.0	-2.16049	-2.09194	0.06855
25	120.0	-2.05293	-2.02375	0.02918
26	120.0	-2.15249	-2.11171	0.04078
27	121.0	-2.11156	-2.04722	0.06434
28	121.0	-2.07755	-2.04272	0.03483
29	120.0	-2.05675	-1.99371	0.06304
30	121.0	-2.0944	-2.05298	0.04142
31	120.0	-2.08105	-2.04673	0.03432
32	120.0	-2.06188	-1.97741	0.08447
33	120.0	-2.07174	-2.04546	0.02628
34	120.0	-2.02509	-1.9934	0.03169
35	120.0	-2.02242	-1.96953	0.05289
36	121.0	-2.29091	-2.25841	0.0325
37	121.0	-1.98543	-1.96271	0.02272
38	119.0	-1.99412	-1.94133	0.05279
39	119.0	-2.01028	-1.95949	0.05079
40	133.0	-2.00206	-1.96013	0.04193
41	120.0	-2.03277	-1.97932	0.05345
42	119.0	-2.01969	-1.96945	0.05024
43	120.0	-1.97471	-1.94399	0.03072
44	120.0	-1.97359	-1.9234	0.05019
45	121.0	-2.16656	-2.11871	0.04785
46	120.0	-1.93767	-1.89418	0.04349
47	120.0	-1.95695	-1.91095	0.046
48	119.0	-1.93971	-1.9166	0.02311
49	119.0	-2.58232	-2.58808	-0.00576
50	120.0	-1.90781	-1.86207	0.04574
51	119.0	-1.94726	-1.89377	0.05349
52	120.0	-1.86724	-1.82173	0.04551
53	121.0	-1.89109	-1.85014	0.04095
54	121.0	-1.88456	-1.85552	0.02904
55	120.0	-1.85539	-1.81802	0.03737
56	120.0	-1.86126	-1.80191	0.05935
57	120.0	-1.84413	-1.796	0.04813
58	120.0	-1.84074	-1.79863	0.04211
59	120.0	-1.89056	-1.85208	0.03848
60	132.0	-1.83072	-1.78317	0.04755
61	120.0	-1.82172	-1.78941	0.03231
62	120.0	-1.81342	-1.77909	0.03433
63	122.0	-1.77083	-1.76541	0.00542
64	121.0	-1.8007	-1.77104	0.02966
65	120.0	-1.75625	-1.72581	0.03044
66	119.0	-2.06664	-2.05266	0.01398
67	120.0	-1.76457	-1.75094	0.01363
68	120.0	-1.75682	-1.75208	0.00474
69	120.0	-1.76246	-1.72228	0.04018
70	121.0	-1.70075	-1.68681	0.01394
71	121.0	-1.70002	-1.68975	0.01027
72	121.0	-1.70056	-1.69823	0.00233
73	121.0	-1.69262	-1.68888	0.00374
74	121.0	-1.66924	-1.66762	0.00162
75	119.0	-1.69233	-1.70359	-0.01126
76	119.0	-1.66339	-1.65983	0.00356
77	120.0	-1.69875	-1.66121	0.03754
78	120.0	-1.65383	-1.64963	0.0042
79	120.0	-1.64833	-1.63994	0.00839
80	133.0	-1.66102	-1.66119	-0.00017
Total training time is 2:42:11
