Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.54	0.373	0.496	0.225	0.00204	0.00221	0.16	0.45	1.3	0.2	0.49	0.88	0.001	0.002	0.003
2	0.271	0.185	0.488	0.228	0.00348	0.00193	0.09	0.22	0.65	0.2	0.47	0.87	0.002	0.003	0.006
3	0.162	0.1	0.467	0.214	0.00504	0.0022	0.05	0.14	0.36	0.19	0.45	0.83	0.003	0.005	0.009
4	0.116	0.0575	0.439	0.187	0.00602	0.00228	0.05	0.11	0.22	0.2	0.43	0.76	0.004	0.006	0.01
5	0.0979	0.0402	0.414	0.162	0.00646	0.00221	0.04	0.1	0.16	0.2	0.41	0.69	0.004	0.006	0.01
6	0.0892	0.0343	0.397	0.149	0.00672	0.00221	0.04	0.09	0.14	0.2	0.4	0.66	0.004	0.006	0.01
7	0.0834	0.0318	0.383	0.143	0.00691	0.00221	0.04	0.09	0.13	0.19	0.39	0.64	0.004	0.007	0.01
8	0.0796	0.0307	0.374	0.141	0.00712	0.00227	0.04	0.08	0.13	0.18	0.38	0.62	0.005	0.007	0.01
9	0.076	0.0303	0.365	0.142	0.00733	0.00236	0.03	0.08	0.12	0.17	0.38	0.62	0.005	0.007	0.01
10	0.0723	0.03	0.358	0.144	0.00759	0.00243	0.03	0.07	0.12	0.17	0.37	0.62	0.005	0.007	0.01
11	0.0699	0.03	0.352	0.146	0.00782	0.00253	0.03	0.07	0.12	0.16	0.36	0.63	0.005	0.007	0.01
12	0.0692	0.0311	0.349	0.149	0.00793	0.00259	0.03	0.07	0.12	0.15	0.36	0.64	0.005	0.008	0.01
13	0.067	0.0312	0.341	0.151	0.00809	0.00269	0.03	0.07	0.12	0.15	0.35	0.64	0.005	0.008	0.01
14	0.0644	0.0308	0.338	0.154	0.00836	0.00276	0.02	0.06	0.12	0.14	0.34	0.65	0.005	0.008	0.01
15	0.0622	0.0307	0.333	0.155	0.00858	0.00284	0.02	0.06	0.11	0.14	0.33	0.65	0.005	0.008	0.01
16	0.0625	0.0316	0.331	0.155	0.0086	0.00293	0.02	0.06	0.12	0.14	0.33	0.66	0.005	0.008	0.01
17	0.0596	0.0311	0.326	0.158	0.00887	0.00296	0.02	0.06	0.11	0.13	0.32	0.66	0.005	0.008	0.01
18	0.0587	0.0314	0.322	0.156	0.00904	0.00306	0.02	0.05	0.11	0.13	0.31	0.65	0.005	0.009	0.01
19	0.0562	0.0303	0.317	0.157	0.00937	0.00317	0.02	0.05	0.11	0.13	0.31	0.65	0.005	0.009	0.01
20	0.0546	0.0302	0.314	0.159	0.00961	0.00323	0.02	0.05	0.11	0.13	0.3	0.66	0.006	0.009	0.02
21	0.0537	0.0303	0.313	0.162	0.00983	0.00335	0.02	0.05	0.11	0.12	0.3	0.67	0.006	0.009	0.02
22	0.0523	0.03	0.311	0.162	0.0101	0.0034	0.02	0.05	0.11	0.12	0.3	0.67	0.006	0.01	0.02
23	0.0513	0.0302	0.306	0.164	0.0104	0.00362	0.02	0.05	0.11	0.12	0.29	0.67	0.006	0.01	0.02
24	0.0523	0.0315	0.309	0.165	0.0106	0.00377	0.02	0.05	0.11	0.12	0.29	0.68	0.006	0.01	0.02
25	0.0476	0.0289	0.303	0.166	0.0112	0.00389	0.02	0.04	0.1	0.11	0.28	0.68	0.006	0.01	0.02
26	0.0455	0.0279	0.3	0.166	0.0116	0.00387	0.01	0.04	0.1	0.11	0.28	0.67	0.007	0.01	0.02
27	0.0457	0.0282	0.301	0.165	0.0118	0.00408	0.01	0.04	0.1	0.11	0.28	0.66	0.007	0.01	0.02
28	0.0438	0.0274	0.296	0.165	0.0122	0.00408	0.01	0.04	0.1	0.1	0.27	0.66	0.007	0.01	0.02
29	0.0423	0.0272	0.293	0.167	0.0125	0.00411	0.01	0.04	0.1	0.1	0.27	0.67	0.007	0.01	0.02
30	0.0437	0.0279	0.297	0.166	0.0125	0.00412	0.01	0.04	0.1	0.11	0.27	0.67	0.007	0.01	0.02
31	0.042	0.0274	0.292	0.168	0.0128	0.00431	0.01	0.04	0.09	0.1	0.27	0.67	0.007	0.01	0.02
32	0.0405	0.0271	0.29	0.169	0.0134	0.00444	0.01	0.03	0.09	0.1	0.26	0.66	0.007	0.01	0.02
