Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.282	0.412	0.489	0.467	0.0803	0.028	0.0	0.04	1.2	0.0	0.45	1.0	0.04	0.09	0.12
2	0.144	0.21	0.484	0.455	0.0731	0.0291	0.0	0.04	0.6	0.0	0.47	1.0	0.05	0.06	0.13
3	0.0798	0.111	0.472	0.435	0.0773	0.0358	0.0	0.04	0.33	0.0	0.47	1.0	0.05	0.06	0.15
4	0.0488	0.0596	0.459	0.409	0.0794	0.0392	0.0	0.04	0.17	0.0	0.47	1.0	0.04	0.07	0.16
5	0.0345	0.0349	0.446	0.375	0.081	0.0414	4e-09	0.03	0.09	3e-06	0.46	0.97	0.04	0.07	0.16
6	0.0286	0.0254	0.443	0.335	0.0858	0.0421	0.0002	0.03	0.07	0.04	0.47	0.92	0.04	0.08	0.17
7	0.0268	0.0226	0.447	0.306	0.0842	0.0405	0.0004	0.03	0.06	0.07	0.48	0.9	0.04	0.07	0.16
8	0.0257	0.0211	0.442	0.292	0.0863	0.0402	0.0006	0.03	0.06	0.07	0.47	0.89	0.04	0.08	0.16
9	0.0251	0.02	0.441	0.284	0.091	0.0401	0.0007	0.03	0.06	0.08	0.47	0.88	0.05	0.08	0.17
10	0.025	0.0194	0.443	0.277	0.0886	0.0392	0.0009	0.03	0.06	0.08	0.48	0.88	0.05	0.08	0.16
11	0.0247	0.0187	0.443	0.273	0.0902	0.0385	0.001	0.03	0.05	0.09	0.47	0.89	0.05	0.08	0.16
12	0.0246	0.0182	0.446	0.269	0.0949	0.0396	0.001	0.03	0.05	0.09	0.48	0.88	0.05	0.09	0.17
13	0.0245	0.0178	0.448	0.267	0.0894	0.0382	0.001	0.03	0.05	0.09	0.48	0.88	0.05	0.08	0.16
14	0.0244	0.0175	0.447	0.263	0.0932	0.039	0.001	0.03	0.05	0.1	0.48	0.86	0.05	0.09	0.16
15	0.0242	0.0171	0.447	0.26	0.092	0.0385	0.001	0.03	0.05	0.1	0.49	0.87	0.05	0.08	0.16
16	0.024	0.0172	0.446	0.264	0.0921	0.0388	0.001	0.03	0.05	0.09	0.48	0.87	0.05	0.08	0.16
17	0.0239	0.0172	0.445	0.266	0.0938	0.0395	0.001	0.03	0.05	0.09	0.48	0.88	0.05	0.09	0.17
18	0.0234	0.017	0.443	0.265	0.0935	0.0395	0.002	0.03	0.05	0.09	0.48	0.87	0.05	0.09	0.17
19	0.0232	0.0167	0.441	0.263	0.0941	0.0397	0.002	0.03	0.05	0.09	0.47	0.88	0.05	0.09	0.17
20	0.023	0.0165	0.442	0.26	0.0944	0.0395	0.002	0.02	0.05	0.09	0.47	0.89	0.05	0.09	0.17
21	0.023	0.0165	0.444	0.262	0.0959	0.0397	0.002	0.02	0.05	0.1	0.48	0.88	0.05	0.09	0.17
22	0.0225	0.0162	0.444	0.26	0.0963	0.0399	0.002	0.02	0.05	0.1	0.47	0.88	0.05	0.09	0.17
23	0.0226	0.0165	0.442	0.261	0.0977	0.0406	0.002	0.02	0.05	0.1	0.47	0.87	0.05	0.09	0.17
24	0.0223	0.0165	0.44	0.265	0.0981	0.0402	0.002	0.02	0.05	0.09	0.46	0.89	0.06	0.09	0.17
25	0.0218	0.0163	0.437	0.261	0.0984	0.0401	0.002	0.02	0.05	0.11	0.45	0.87	0.06	0.09	0.17
26	0.0217	0.016	0.438	0.258	0.101	0.04	0.002	0.02	0.05	0.11	0.44	0.87	0.06	0.09	0.17
27	0.0214	0.0158	0.437	0.257	0.102	0.0397	0.002	0.02	0.05	0.11	0.45	0.87	0.06	0.1	0.17
28	0.021	0.0154	0.437	0.251	0.105	0.0397	0.002	0.02	0.05	0.12	0.44	0.87	0.06	0.1	0.17
29	0.0207	0.0153	0.435	0.25	0.104	0.0388	0.002	0.02	0.05	0.12	0.43	0.86	0.06	0.1	0.17
30	0.0206	0.0148	0.44	0.246	0.109	0.0395	0.003	0.02	0.05	0.13	0.44	0.87	0.07	0.1	0.17
31	0.0205	0.0147	0.442	0.245	0.108	0.0383	0.003	0.02	0.05	0.12	0.43	0.86	0.07	0.1	0.18
32	0.0205	0.0146	0.443	0.244	0.108	0.0376	0.003	0.02	0.05	0.14	0.43	0.86	0.07	0.1	0.17
33	0.0203	0.014	0.447	0.239	0.11	0.0377	0.003	0.02	0.04	0.14	0.44	0.86	0.07	0.1	0.17
34	0.0202	0.0137	0.45	0.234	0.11	0.0365	0.004	0.02	0.04	0.15	0.44	0.85	0.07	0.11	0.17
35	0.0201	0.0134	0.453	0.23	0.113	0.0367	0.004	0.02	0.04	0.16	0.45	0.86	0.07	0.11	0.17
36	0.0198	0.0132	0.455	0.23	0.113	0.0353	0.004	0.02	0.04	0.16	0.46	0.85	0.08	0.11	0.17
37	0.0196	0.0129	0.455	0.227	0.114	0.0344	0.004	0.02	0.04	0.16	0.46	0.85	0.08	0.11	0.17
38	0.0192	0.0126	0.453	0.225	0.117	0.0343	0.004	0.02	0.04	0.17	0.46	0.86	0.08	0.11	0.17
39	0.019	0.0123	0.453	0.224	0.123	0.0346	0.004	0.02	0.04	0.17	0.46	0.84	0.09	0.12	0.18
40	0.0188	0.012	0.455	0.222	0.118	0.0331	0.005	0.02	0.04	0.17	0.45	0.85	0.08	0.11	0.17
41	0.0186	0.0118	0.453	0.22	0.122	0.033	0.005	0.02	0.04	0.17	0.45	0.85	0.09	0.12	0.18
42	0.0182	0.0114	0.454	0.216	0.126	0.0333	0.005	0.02	0.04	0.18	0.45	0.83	0.09	0.12	0.18
43	0.0179	0.0113	0.453	0.216	0.122	0.0326	0.005	0.02	0.04	0.18	0.44	0.84	0.09	0.12	0.17
44	0.0179	0.0113	0.453	0.218	0.123	0.0331	0.005	0.02	0.04	0.18	0.44	0.85	0.09	0.12	0.18
45	0.0177	0.011	0.452	0.217	0.121	0.0328	0.005	0.02	0.04	0.18	0.44	0.84	0.09	0.12	0.17
46	0.0174	0.0108	0.454	0.217	0.123	0.0337	0.005	0.02	0.04	0.18	0.44	0.84	0.09	0.12	0.18
47	0.0173	0.0107	0.455	0.217	0.125	0.0334	0.005	0.02	0.04	0.18	0.44	0.85	0.09	0.12	0.19
48	0.0172	0.0107	0.457	0.218	0.124	0.0341	0.005	0.02	0.04	0.18	0.45	0.83	0.09	0.12	0.18
49	0.017	0.0104	0.456	0.215	0.124	0.0344	0.005	0.02	0.04	0.18	0.44	0.83	0.09	0.12	0.18
