Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.62	0.381	0.485	0.201	0.00403	0.00153	0.21	0.53	1.4	0.22	0.48	0.82	0.003	0.004	0.007
2	0.331	0.188	0.483	0.195	0.00586	0.00177	0.13	0.29	0.7	0.23	0.48	0.82	0.004	0.006	0.009
3	0.216	0.1	0.476	0.17	0.00739	0.0018	0.1	0.2	0.41	0.26	0.47	0.77	0.006	0.007	0.01
4	0.177	0.0553	0.463	0.125	0.0082	0.00151	0.11	0.17	0.28	0.31	0.46	0.68	0.007	0.008	0.01
5	0.166	0.0359	0.449	0.0851	0.00838	0.00128	0.12	0.17	0.23	0.34	0.45	0.59	0.007	0.008	0.01
6	0.162	0.0278	0.443	0.0611	0.00842	0.00122	0.13	0.16	0.21	0.37	0.45	0.54	0.007	0.008	0.01
7	0.16	0.0248	0.439	0.0485	0.00839	0.00121	0.13	0.16	0.2	0.37	0.44	0.52	0.007	0.008	0.01
8	0.158	0.0246	0.434	0.0426	0.0085	0.00125	0.13	0.16	0.2	0.38	0.44	0.5	0.007	0.008	0.01
9	0.155	0.0257	0.429	0.0409	0.00861	0.00134	0.12	0.16	0.19	0.38	0.43	0.49	0.007	0.008	0.01
10	0.151	0.0273	0.424	0.0424	0.00881	0.00149	0.11	0.15	0.2	0.37	0.43	0.49	0.007	0.009	0.01
11	0.15	0.0271	0.423	0.0414	0.00896	0.0015	0.11	0.15	0.19	0.37	0.43	0.49	0.007	0.009	0.01
12	0.148	0.0277	0.416	0.0429	0.00909	0.00158	0.11	0.15	0.19	0.36	0.42	0.48	0.007	0.009	0.01
13	0.146	0.0288	0.41	0.0456	0.00915	0.00168	0.11	0.15	0.19	0.35	0.41	0.48	0.007	0.009	0.01
14	0.143	0.0293	0.407	0.0475	0.00937	0.00178	0.1	0.14	0.19	0.35	0.41	0.48	0.007	0.009	0.01
15	0.141	0.0298	0.402	0.0487	0.00967	0.00183	0.1	0.14	0.19	0.34	0.4	0.48	0.008	0.009	0.01
16	0.143	0.0297	0.397	0.0521	0.00971	0.00178	0.11	0.14	0.2	0.33	0.4	0.48	0.008	0.009	0.01
17	0.138	0.0311	0.393	0.0551	0.00982	0.00194	0.1	0.14	0.19	0.32	0.4	0.48	0.008	0.01	0.01
18	0.137	0.0309	0.391	0.0567	0.01	0.00199	0.1	0.14	0.19	0.32	0.39	0.48	0.008	0.01	0.01
19	0.134	0.0305	0.387	0.059	0.0103	0.00209	0.1	0.13	0.19	0.31	0.39	0.48	0.008	0.01	0.01
20	0.132	0.0306	0.383	0.06	0.0106	0.00215	0.09	0.13	0.18	0.31	0.39	0.48	0.008	0.01	0.01
21	0.13	0.0306	0.38	0.0602	0.0108	0.00217	0.09	0.13	0.18	0.3	0.38	0.47	0.008	0.01	0.01
22	0.127	0.0299	0.377	0.0623	0.011	0.00228	0.09	0.13	0.18	0.3	0.38	0.47	0.009	0.01	0.02
23	0.126	0.0299	0.375	0.0649	0.0113	0.00231	0.09	0.12	0.17	0.29	0.38	0.47	0.009	0.01	0.02
24	0.123	0.0306	0.373	0.066	0.0115	0.00237	0.08	0.12	0.17	0.29	0.38	0.47	0.009	0.01	0.02
25	0.118	0.0314	0.37	0.0683	0.0118	0.00246	0.08	0.12	0.17	0.28	0.38	0.47	0.009	0.01	0.02
26	0.114	0.0316	0.365	0.0701	0.0122	0.00244	0.07	0.11	0.17	0.28	0.37	0.46	0.009	0.01	0.02
27	0.113	0.0303	0.365	0.0721	0.0122	0.00256	0.07	0.11	0.16	0.27	0.37	0.47	0.009	0.01	0.02
28	0.111	0.0299	0.362	0.0715	0.0126	0.00244	0.07	0.11	0.16	0.27	0.37	0.46	0.01	0.01	0.02
29	0.109	0.0301	0.362	0.0735	0.0127	0.00246	0.07	0.11	0.16	0.27	0.37	0.46	0.01	0.01	0.02
30	0.11	0.0288	0.364	0.072	0.0128	0.00233	0.07	0.11	0.16	0.28	0.37	0.46	0.01	0.01	0.02
31	0.108	0.0287	0.363	0.0736	0.0128	0.0024	0.07	0.11	0.16	0.27	0.37	0.46	0.01	0.01	0.02
32	0.105	0.0292	0.362	0.0753	0.0132	0.00233	0.07	0.1	0.15	0.27	0.37	0.46	0.01	0.01	0.02
33	0.102	0.0294	0.359	0.079	0.0135	0.00235	0.06	0.1	0.15	0.25	0.37	0.46	0.01	0.01	0.02
34	0.1	0.0286	0.359	0.0772	0.0138	0.00233	0.06	0.1	0.15	0.26	0.37	0.46	0.01	0.01	0.02
35	0.0982	0.0293	0.358	0.0798	0.0142	0.00232	0.06	0.1	0.14	0.26	0.37	0.47	0.01	0.01	0.02
36	0.0971	0.0289	0.358	0.0805	0.0142	0.00228	0.06	0.1	0.14	0.26	0.37	0.47	0.01	0.01	0.02
37	0.0961	0.0279	0.359	0.0786	0.0143	0.00229	0.06	0.1	0.14	0.26	0.37	0.47	0.01	0.01	0.02
38	0.0955	0.0269	0.361	0.0755	0.0144	0.00222	0.06	0.1	0.14	0.27	0.37	0.47	0.01	0.01	0.02
39	0.0949	0.0262	0.361	0.0751	0.0144	0.00218	0.06	0.09	0.14	0.27	0.37	0.47	0.01	0.01	0.02
40	0.0943	0.0252	0.363	0.0734	0.0145	0.00218	0.06	0.09	0.14	0.28	0.37	0.47	0.01	0.01	0.02
41	0.0946	0.0247	0.365	0.0717	0.0145	0.00218	0.06	0.09	0.14	0.28	0.37	0.47	0.01	0.01	0.02
42	0.0939	0.0241	0.366	0.0716	0.0145	0.00212	0.06	0.09	0.13	0.28	0.37	0.47	0.01	0.01	0.02
43	0.0914	0.0233	0.367	0.0711	0.0146	0.0022	0.06	0.09	0.13	0.29	0.37	0.47	0.01	0.01	0.02
44	0.0891	0.0226	0.365	0.0739	0.0145	0.0022	0.06	0.09	0.13	0.28	0.37	0.47	0.01	0.01	0.02
45	0.0875	0.0218	0.365	0.0732	0.0147	0.00222	0.06	0.09	0.12	0.29	0.37	0.46	0.01	0.01	0.02
46	0.0843	0.0212	0.364	0.0739	0.0151	0.00226	0.06	0.08	0.12	0.28	0.37	0.47	0.01	0.01	0.02
47	0.0827	0.0206	0.365	0.0721	0.0153	0.00217	0.06	0.08	0.12	0.28	0.37	0.46	0.01	0.02	0.02
48	0.0814	0.0202	0.362	0.0733	0.0153	0.0022	0.06	0.08	0.11	0.28	0.37	0.46	0.01	0.02	0.02
49	0.0792	0.0198	0.361	0.0742	0.0157	0.00226	0.05	0.08	0.11	0.28	0.37	0.46	0.01	0.02	0.02
