Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.821	0.484	0.493	0.197	0.00335	0.00142	0.26	0.74	1.7	0.22	0.5	0.81	0.002	0.003	0.006
2	0.766	0.419	0.492	0.184	0.00314	0.00114	0.28	0.7	1.5	0.24	0.5	0.79	0.002	0.003	0.005
3	0.681	0.368	0.491	0.182	0.00326	0.0012	0.25	0.63	1.4	0.24	0.49	0.78	0.002	0.003	0.005
4	0.606	0.327	0.489	0.182	0.0033	0.00125	0.23	0.56	1.2	0.24	0.49	0.77	0.002	0.003	0.006
5	0.558	0.292	0.488	0.177	0.00345	0.00128	0.22	0.52	1.1	0.25	0.49	0.77	0.002	0.003	0.006
6	0.513	0.262	0.485	0.173	0.00344	0.00127	0.2	0.48	0.98	0.25	0.49	0.76	0.002	0.003	0.006
7	0.488	0.238	0.483	0.166	0.00353	0.00126	0.21	0.46	0.91	0.26	0.49	0.75	0.002	0.003	0.006
8	0.463	0.218	0.481	0.161	0.00345	0.00121	0.2	0.44	0.85	0.27	0.48	0.74	0.002	0.003	0.006
9	0.436	0.201	0.479	0.157	0.00356	0.00124	0.19	0.41	0.79	0.27	0.48	0.72	0.002	0.003	0.006
10	0.423	0.186	0.477	0.15	0.00373	0.00125	0.2	0.41	0.76	0.28	0.48	0.72	0.003	0.003	0.006
11	0.412	0.175	0.476	0.145	0.00369	0.0012	0.2	0.4	0.72	0.28	0.48	0.7	0.003	0.003	0.006
12	0.408	0.164	0.476	0.138	0.0038	0.00118	0.21	0.39	0.7	0.29	0.48	0.69	0.003	0.004	0.006
13	0.405	0.156	0.476	0.132	0.00374	0.00112	0.21	0.39	0.69	0.3	0.48	0.68	0.003	0.003	0.006
14	0.407	0.148	0.477	0.125	0.00386	0.0011	0.22	0.4	0.67	0.31	0.48	0.67	0.003	0.004	0.006
15	0.411	0.143	0.477	0.119	0.0038	0.00105	0.23	0.41	0.67	0.32	0.48	0.66	0.003	0.004	0.006
16	0.398	0.139	0.476	0.119	0.00343	0.000972	0.22	0.39	0.65	0.32	0.48	0.66	0.002	0.003	0.005
17	0.382	0.135	0.474	0.12	0.00342	0.001	0.21	0.38	0.63	0.32	0.48	0.66	0.002	0.003	0.005
18	0.366	0.132	0.473	0.122	0.00334	0.00101	0.19	0.36	0.61	0.31	0.48	0.66	0.002	0.003	0.005
19	0.352	0.13	0.472	0.123	0.00344	0.00108	0.18	0.35	0.59	0.31	0.48	0.66	0.002	0.003	0.005
20	0.339	0.128	0.47	0.125	0.00347	0.00113	0.17	0.34	0.57	0.3	0.48	0.66	0.002	0.003	0.006
