%Iter	duration	train_objective	valid_objective	difference
0	136.0	-7.94588	-7.94585	3e-05
1	118.0	-2.66349	-2.62155	0.04194
2	117.0	-2.38878	-2.30531	0.08347
3	116.0	-2.33371	-2.26684	0.06687
4	116.0	-2.35871	-2.30519	0.05352
5	116.0	-2.23287	-2.17788	0.05499
6	116.0	-2.20746	-2.16833	0.03913
7	117.0	-2.17203	-2.14537	0.02666
8	117.0	-2.1857	-2.10945	0.07625
9	117.0	-2.14776	-2.10712	0.04064
10	117.0	-2.12688	-2.10521	0.02167
11	116.0	-2.08925	-2.04128	0.04797
12	116.0	-2.1145	-2.0561	0.0584
13	115.0	-2.0506	-2.00033	0.05027
14	116.0	-2.04984	-2.02341	0.02643
15	115.0	-2.04257	-2.01126	0.03131
16	116.0	-2.03027	-1.98905	0.04122
17	117.0	-2.05583	-2.01472	0.04111
18	117.0	-1.99574	-1.9207	0.07504
19	116.0	-1.98145	-1.99285	-0.0114
20	130.0	-1.99047	-1.94484	0.04563
21	116.0	-2.01402	-1.97432	0.0397
22	116.0	-1.96144	-1.93692	0.02452
23	116.0	-1.95412	-1.91232	0.0418
24	116.0	-1.99348	-1.93856	0.05492
25	116.0	-1.92382	-1.88547	0.03835
26	117.0	-1.96729	-1.94505	0.02224
27	117.0	-1.90856	-1.86692	0.04164
28	120.0	-1.9118	-1.89442	0.01738
29	120.0	-1.89058	-1.85671	0.03387
30	120.0	-1.96504	-1.91553	0.04951
31	119.0	-1.90628	-1.88532	0.02096
32	120.0	-1.91605	-1.84796	0.06809
33	119.0	-1.88953	-1.88525	0.00428
34	120.0	-1.90651	-1.8649	0.04161
35	120.0	-1.90921	-1.85176	0.05745
36	121.0	-1.85634	-1.82679	0.02955
37	121.0	-1.8289	-1.80198	0.02692
38	120.0	-1.85362	-1.80799	0.04563
39	119.0	-1.86159	-1.83544	0.02615
40	132.0	-1.86894	-1.84883	0.02011
41	119.0	-1.85724	-1.81112	0.04612
42	120.0	-1.84322	-1.82202	0.0212
43	120.0	-1.8274	-1.82279	0.00461
44	120.0	-1.81129	-1.80822	0.00307
45	121.0	-1.83639	-1.81766	0.01873
46	238.0	-1.69672	-1.67145	0.02527
47	239.0	-1.62388	-1.59604	0.02784
48	239.0	-1.59458	-1.56336	0.03122
49	120.0	-1.55917	-1.53252	0.02665
50	304.0	-1.54526	-1.53391	0.01135
51	239.0	-1.88	-1.8523	0.0277
52	239.0	-1.61135	-1.59672	0.01463
53	239.0	-1.52738	-1.50702	0.02036
54	121.0	-1.54585	-1.53011	0.01574
55	314.0	-1.52255	-1.50576	0.01679
56	120.0	-1.56787	-1.5478	0.02007
57	240.0	-1.53653	-1.52452	0.01201
58	245.0	-1.5232	-1.50562	0.01758
59	120.0	-1.50666	-1.48429	0.02237
60	265.0	-1.63416	-1.61921	0.01495
61	239.0	-1.49285	-1.48598	0.00687
62	270.0	-1.47614	-1.46881	0.00733
63	121.0	-1.47842	-1.45737	0.02105
64	239.0	-1.46543	-1.46391	0.00152
65	239.0	-1.55336	-1.52657	0.02679
66	120.0	-1.43454	-1.43637	-0.00183
67	340.0	-1.43363	-1.43326	0.00037
68	244.0	-1.62242	-1.62021	0.00221
69	289.0	-1.41012	-1.40003	0.01009
70	243.0	-1.39211	-1.39872	-0.00661
71	239.0	-1.4064	-1.39874	0.00766
72	244.0	-1.39109	-1.3956	-0.00451
73	243.0	-1.38228	-1.38853	-0.00625
74	239.0	-1.36938	-1.38507	-0.01569
75	119.0	-1.36486	-1.38064	-0.01578
76	290.0	-1.35292	-1.3725	-0.01958
77	244.0	-1.31805	-1.37604	-0.05799
78	238.0	-1.3414	-1.36124	-0.01984
79	239.0	-1.3263	-1.36632	-0.04002
80	396.0	-1.32173	-1.36257	-0.04084
81	344.0	-1.30201	-1.34489	-0.04288
82	238.0	-1.29178	-1.32432	-0.03254
83	120.0	-1.28377	-1.33898	-0.05521
84	239.0	-1.28397	-1.32434	-0.04037
85	245.0	-1.28026	-1.32525	-0.04499
86	320.0	-1.24881	-1.31686	-0.06805
87	238.0	-1.25145	-1.31337	-0.06192
88	313.0	-1.24817	-1.32183	-0.07366
89	269.0	-1.23023	-1.30231	-0.07208
Total training time is 4:25:05
