Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.596	0.424	0.493	0.229	0.00159	0.00172	0.16	0.49	1.4	0.18	0.48	0.88	0.0009	0.001	0.003
2	0.368	0.273	0.497	0.241	0.00262	0.00169	0.1	0.29	0.91	0.18	0.48	0.91	0.002	0.002	0.004
3	0.246	0.184	0.492	0.243	0.0038	0.00172	0.07	0.19	0.62	0.17	0.47	0.91	0.002	0.003	0.006
4	0.171	0.123	0.479	0.234	0.00514	0.00209	0.05	0.14	0.42	0.17	0.46	0.88	0.003	0.005	0.009
5	0.126	0.0838	0.461	0.221	0.00642	0.00248	0.04	0.11	0.29	0.17	0.44	0.84	0.004	0.006	0.01
6	0.0994	0.0591	0.443	0.205	0.00738	0.00267	0.03	0.09	0.21	0.18	0.43	0.8	0.004	0.007	0.01
7	0.0843	0.0443	0.425	0.188	0.00795	0.00263	0.03	0.08	0.16	0.18	0.42	0.76	0.005	0.007	0.01
8	0.0751	0.037	0.409	0.177	0.0084	0.00266	0.03	0.07	0.14	0.18	0.4	0.72	0.006	0.008	0.01
9	0.0688	0.0336	0.395	0.171	0.00875	0.00271	0.03	0.07	0.12	0.17	0.4	0.69	0.006	0.008	0.01
10	0.0651	0.032	0.384	0.166	0.00904	0.00276	0.02	0.06	0.12	0.16	0.39	0.68	0.006	0.008	0.01
11	0.0617	0.03	0.375	0.163	0.00932	0.00284	0.02	0.06	0.11	0.16	0.38	0.66	0.006	0.009	0.01
12	0.0589	0.0291	0.367	0.162	0.00959	0.00288	0.02	0.06	0.11	0.15	0.38	0.66	0.006	0.009	0.01
13	0.0571	0.0289	0.36	0.161	0.00977	0.00295	0.02	0.06	0.1	0.14	0.37	0.64	0.007	0.009	0.02
14	0.055	0.0283	0.354	0.161	0.01	0.00305	0.02	0.05	0.1	0.14	0.36	0.64	0.007	0.009	0.02
15	0.0534	0.0281	0.349	0.161	0.0102	0.00305	0.02	0.05	0.1	0.14	0.35	0.64	0.007	0.01	0.02
16	0.0521	0.0279	0.344	0.161	0.0104	0.00314	0.02	0.05	0.1	0.13	0.35	0.63	0.007	0.01	0.02
17	0.0508	0.0277	0.339	0.16	0.0105	0.00315	0.02	0.05	0.1	0.13	0.34	0.62	0.007	0.01	0.02
18	0.0492	0.0273	0.334	0.16	0.0108	0.00321	0.02	0.05	0.1	0.13	0.34	0.61	0.007	0.01	0.02
19	0.0476	0.0272	0.329	0.162	0.011	0.00327	0.01	0.04	0.1	0.12	0.33	0.62	0.008	0.01	0.02
20	0.0466	0.0271	0.325	0.161	0.0112	0.00333	0.01	0.04	0.1	0.12	0.32	0.62	0.008	0.01	0.02
21	0.0458	0.027	0.322	0.163	0.0114	0.00341	0.01	0.04	0.1	0.12	0.32	0.63	0.008	0.01	0.02
22	0.045	0.0268	0.319	0.164	0.0115	0.00344	0.01	0.04	0.1	0.11	0.31	0.63	0.008	0.01	0.02
23	0.0436	0.0265	0.314	0.165	0.0118	0.0035	0.01	0.04	0.1	0.11	0.3	0.62	0.008	0.01	0.02
24	0.0425	0.0265	0.311	0.166	0.0121	0.00355	0.01	0.04	0.09	0.11	0.3	0.62	0.008	0.01	0.02
25	0.0415	0.0264	0.308	0.166	0.0122	0.0036	0.01	0.04	0.09	0.11	0.29	0.63	0.008	0.01	0.02
26	0.0406	0.0263	0.304	0.166	0.0125	0.00363	0.01	0.03	0.09	0.1	0.28	0.62	0.008	0.01	0.02
27	0.0401	0.0263	0.303	0.167	0.0126	0.00364	0.01	0.03	0.09	0.1	0.28	0.62	0.009	0.01	0.02
28	0.0393	0.0266	0.299	0.168	0.0128	0.00373	0.01	0.03	0.09	0.1	0.27	0.62	0.009	0.01	0.02
29	0.0385	0.0263	0.296	0.168	0.013	0.00375	0.01	0.03	0.09	0.1	0.27	0.63	0.009	0.01	0.02
30	0.0377	0.0263	0.294	0.17	0.0132	0.00381	0.01	0.03	0.09	0.1	0.27	0.63	0.009	0.01	0.02
31	0.0369	0.0258	0.292	0.17	0.0135	0.00387	0.01	0.03	0.09	0.1	0.27	0.63	0.009	0.01	0.02
32	0.036	0.0257	0.289	0.171	0.0137	0.00387	0.009	0.03	0.09	0.09	0.26	0.63	0.009	0.01	0.02
33	0.0362	0.0263	0.288	0.171	0.0137	0.00394	0.009	0.03	0.09	0.09	0.26	0.63	0.009	0.01	0.02
34	0.0352	0.0257	0.286	0.172	0.014	0.00399	0.009	0.03	0.09	0.09	0.25	0.64	0.009	0.01	0.02
35	0.0347	0.0255	0.283	0.172	0.0142	0.00403	0.009	0.03	0.09	0.09	0.25	0.64	0.01	0.01	0.02
36	0.0342	0.0253	0.282	0.172	0.0143	0.00407	0.008	0.03	0.09	0.09	0.25	0.64	0.01	0.01	0.02
37	0.0337	0.0255	0.279	0.173	0.0146	0.00412	0.008	0.03	0.09	0.09	0.24	0.64	0.01	0.01	0.02
38	0.0332	0.025	0.279	0.172	0.0147	0.00408	0.008	0.03	0.09	0.09	0.24	0.64	0.01	0.01	0.02
39	0.033	0.0251	0.278	0.173	0.0148	0.00413	0.008	0.03	0.09	0.09	0.24	0.63	0.01	0.01	0.02
40	0.0326	0.025	0.277	0.174	0.0151	0.00424	0.008	0.03	0.09	0.09	0.24	0.63	0.01	0.01	0.02
41	0.0324	0.0251	0.275	0.173	0.0152	0.0043	0.007	0.02	0.09	0.09	0.23	0.63	0.01	0.01	0.02
42	0.0322	0.025	0.275	0.174	0.0153	0.00433	0.007	0.02	0.09	0.09	0.23	0.64	0.01	0.01	0.02
43	0.0319	0.0251	0.273	0.174	0.0155	0.00442	0.007	0.02	0.09	0.08	0.23	0.64	0.01	0.01	0.02
44	0.0315	0.0248	0.272	0.174	0.0156	0.00438	0.007	0.02	0.08	0.08	0.23	0.64	0.01	0.01	0.02
45	0.0308	0.0246	0.269	0.175	0.0159	0.00441	0.007	0.02	0.08	0.08	0.22	0.64	0.01	0.02	0.02
46	0.047	0.0312	0.296	0.16	0.012	0.00333	0.01	0.04	0.11	0.12	0.26	0.65	0.008	0.01	0.02
47	0.0567	0.0376	0.295	0.158	0.0096	0.00286	0.02	0.05	0.13	0.11	0.26	0.63	0.007	0.009	0.02
48	0.06	0.0403	0.293	0.159	0.00925	0.00285	0.02	0.05	0.14	0.11	0.26	0.61	0.006	0.009	0.02
49	0.0615	0.0415	0.292	0.159	0.00918	0.00289	0.02	0.05	0.15	0.11	0.26	0.62	0.006	0.008	0.02
50	0.0622	0.0422	0.292	0.159	0.00925	0.00294	0.02	0.05	0.15	0.1	0.26	0.61	0.006	0.008	0.02
51	0.0626	0.0427	0.292	0.159	0.0094	0.00302	0.02	0.05	0.15	0.1	0.26	0.61	0.007	0.009	0.02
52	0.0628	0.0427	0.292	0.159	0.00949	0.00307	0.02	0.05	0.15	0.1	0.27	0.62	0.007	0.009	0.02
53	0.063	0.043	0.292	0.159	0.00961	0.00317	0.02	0.05	0.15	0.1	0.27	0.62	0.007	0.009	0.02
54	0.0629	0.0432	0.292	0.159	0.00976	0.0032	0.01	0.05	0.15	0.1	0.26	0.62	0.007	0.009	0.02
55	0.0631	0.0432	0.292	0.158	0.00989	0.00329	0.01	0.05	0.15	0.1	0.27	0.61	0.007	0.009	0.02
56	0.063	0.043	0.293	0.158	0.01	0.00335	0.01	0.05	0.15	0.1	0.27	0.6	0.007	0.009	0.02
