Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.67	0.507	0.496	0.241	0.00356	0.00515	0.14	0.55	1.6	0.17	0.49	0.89	0.002	0.003	0.007
2	0.567	0.442	0.495	0.246	0.00523	0.00658	0.11	0.45	1.4	0.17	0.49	0.9	0.003	0.004	0.009
3	0.471	0.386	0.495	0.258	0.00636	0.00664	0.09	0.36	1.2	0.15	0.48	0.92	0.003	0.005	0.01
4	0.398	0.34	0.494	0.266	0.00759	0.00657	0.07	0.3	1.1	0.14	0.48	0.93	0.004	0.006	0.01
5	0.34	0.298	0.493	0.273	0.00885	0.00655	0.05	0.25	0.93	0.13	0.48	0.94	0.005	0.007	0.02
6	0.293	0.262	0.493	0.277	0.0101	0.00651	0.05	0.21	0.82	0.13	0.48	0.94	0.005	0.008	0.02
7	0.254	0.23	0.492	0.28	0.0114	0.00655	0.04	0.18	0.71	0.12	0.48	0.95	0.006	0.01	0.02
8	0.223	0.202	0.49	0.28	0.0126	0.00666	0.03	0.16	0.63	0.12	0.47	0.95	0.007	0.01	0.02
9	0.198	0.178	0.489	0.279	0.0139	0.00685	0.03	0.14	0.55	0.13	0.47	0.94	0.008	0.01	0.03
10	0.176	0.157	0.488	0.276	0.0151	0.00693	0.03	0.13	0.49	0.13	0.47	0.94	0.008	0.01	0.03
11	0.157	0.138	0.485	0.273	0.0163	0.00708	0.03	0.11	0.43	0.13	0.47	0.93	0.009	0.01	0.03
12	0.142	0.121	0.482	0.267	0.0173	0.00708	0.03	0.1	0.39	0.14	0.46	0.92	0.01	0.02	0.03
13	0.129	0.106	0.479	0.261	0.0182	0.00712	0.03	0.09	0.34	0.14	0.46	0.91	0.01	0.02	0.03
14	0.118	0.0945	0.476	0.255	0.0192	0.00716	0.03	0.09	0.31	0.14	0.46	0.9	0.01	0.02	0.03
15	0.109	0.0838	0.473	0.248	0.0201	0.00709	0.03	0.08	0.28	0.15	0.45	0.89	0.01	0.02	0.03
16	0.101	0.0742	0.469	0.24	0.0208	0.00693	0.03	0.08	0.25	0.16	0.45	0.88	0.01	0.02	0.03
17	0.0944	0.0665	0.465	0.232	0.0213	0.00686	0.03	0.08	0.23	0.16	0.45	0.86	0.01	0.02	0.03
18	0.0887	0.0595	0.46	0.224	0.022	0.00678	0.03	0.07	0.21	0.17	0.44	0.84	0.01	0.02	0.03
19	0.0836	0.0537	0.455	0.217	0.0225	0.0066	0.03	0.07	0.19	0.18	0.44	0.82	0.01	0.02	0.03
20	0.0791	0.0484	0.451	0.209	0.0232	0.00658	0.03	0.07	0.17	0.19	0.43	0.8	0.02	0.02	0.03
21	0.0756	0.0441	0.447	0.201	0.0236	0.00637	0.03	0.07	0.16	0.19	0.43	0.79	0.02	0.02	0.03
22	0.0724	0.0404	0.443	0.193	0.024	0.00619	0.03	0.06	0.15	0.2	0.43	0.77	0.02	0.02	0.03
23	0.0695	0.0371	0.439	0.187	0.0245	0.00612	0.03	0.06	0.14	0.2	0.43	0.76	0.02	0.02	0.04
24	0.0669	0.0344	0.434	0.18	0.025	0.00608	0.03	0.06	0.13	0.21	0.43	0.74	0.02	0.02	0.04
25	0.065	0.0321	0.431	0.173	0.0253	0.0059	0.03	0.06	0.12	0.21	0.42	0.72	0.02	0.02	0.04
26	0.063	0.03	0.427	0.168	0.0254	0.00577	0.03	0.06	0.12	0.21	0.41	0.71	0.02	0.02	0.04
27	0.0613	0.0283	0.425	0.162	0.0258	0.00566	0.03	0.06	0.11	0.22	0.41	0.7	0.02	0.03	0.04
28	0.0596	0.0267	0.422	0.158	0.0263	0.00555	0.03	0.06	0.11	0.22	0.41	0.68	0.02	0.03	0.04
29	0.0579	0.0253	0.418	0.154	0.0268	0.00562	0.03	0.06	0.1	0.22	0.41	0.67	0.02	0.03	0.04
30	0.0564	0.0241	0.415	0.149	0.0273	0.0057	0.03	0.05	0.1	0.22	0.41	0.66	0.02	0.03	0.04
31	0.0551	0.0231	0.412	0.146	0.0278	0.00569	0.03	0.05	0.1	0.23	0.4	0.65	0.02	0.03	0.04
32	0.0539	0.0221	0.408	0.143	0.0281	0.0056	0.03	0.05	0.09	0.22	0.4	0.64	0.02	0.03	0.04
33	0.0528	0.0213	0.406	0.14	0.0284	0.00564	0.03	0.05	0.09	0.23	0.4	0.63	0.02	0.03	0.04
34	0.0519	0.0205	0.405	0.137	0.0287	0.0055	0.03	0.05	0.09	0.23	0.4	0.62	0.02	0.03	0.04
35	0.051	0.0201	0.4	0.133	0.0289	0.0055	0.03	0.05	0.09	0.23	0.39	0.61	0.02	0.03	0.04
36	0.05	0.0195	0.397	0.132	0.0292	0.00555	0.03	0.05	0.08	0.23	0.39	0.61	0.02	0.03	0.04
37	0.0489	0.019	0.394	0.13	0.0298	0.0055	0.03	0.05	0.08	0.22	0.39	0.61	0.02	0.03	0.04
38	0.0481	0.0184	0.393	0.128	0.0301	0.00552	0.03	0.05	0.08	0.23	0.38	0.6	0.02	0.03	0.04
39	0.0475	0.0179	0.391	0.125	0.0305	0.00558	0.03	0.05	0.08	0.23	0.38	0.59	0.02	0.03	0.04
40	0.0465	0.0176	0.388	0.124	0.031	0.0056	0.02	0.04	0.08	0.23	0.38	0.59	0.02	0.03	0.04
41	0.0459	0.0172	0.385	0.123	0.0313	0.00569	0.02	0.04	0.07	0.22	0.38	0.59	0.02	0.03	0.04
42	0.0452	0.0169	0.383	0.122	0.0316	0.00558	0.02	0.04	0.07	0.22	0.37	0.58	0.03	0.03	0.04
43	0.0447	0.0166	0.381	0.12	0.0321	0.00559	0.02	0.04	0.07	0.23	0.37	0.58	0.03	0.03	0.04
44	0.0441	0.0164	0.378	0.12	0.0322	0.00559	0.02	0.04	0.07	0.22	0.37	0.57	0.03	0.03	0.04
45	0.0435	0.0161	0.378	0.117	0.0327	0.00571	0.02	0.04	0.07	0.23	0.37	0.57	0.03	0.03	0.04
46	0.0427	0.0158	0.375	0.118	0.0332	0.00568	0.02	0.04	0.07	0.22	0.37	0.57	0.03	0.03	0.04
47	0.0424	0.0156	0.374	0.116	0.0335	0.00573	0.02	0.04	0.07	0.22	0.37	0.56	0.03	0.03	0.04
48	0.0421	0.0154	0.371	0.115	0.034	0.00579	0.02	0.04	0.07	0.22	0.37	0.56	0.03	0.03	0.04
49	0.0417	0.0152	0.371	0.114	0.034	0.0057	0.02	0.04	0.07	0.22	0.37	0.56	0.03	0.03	0.04
50	0.0414	0.0151	0.37	0.112	0.0344	0.0059	0.02	0.04	0.07	0.22	0.36	0.55	0.03	0.03	0.04
51	0.0408	0.0149	0.368	0.112	0.0349	0.0058	0.02	0.04	0.06	0.22	0.36	0.55	0.03	0.03	0.04
52	0.0407	0.015	0.366	0.112	0.0349	0.00579	0.02	0.04	0.06	0.22	0.36	0.55	0.03	0.03	0.04
53	0.0404	0.0148	0.366	0.111	0.0349	0.00568	0.02	0.04	0.06	0.22	0.36	0.55	0.03	0.03	0.04
54	0.0402	0.0145	0.365	0.109	0.0354	0.00569	0.02	0.04	0.06	0.22	0.36	0.54	0.03	0.03	0.05
55	0.0398	0.0145	0.364	0.11	0.0359	0.00573	0.02	0.04	0.06	0.22	0.36	0.54	0.03	0.04	0.05
56	0.0394	0.0142	0.362	0.109	0.0359	0.00571	0.02	0.04	0.06	0.22	0.36	0.54	0.03	0.04	0.05
57	0.039	0.014	0.361	0.107	0.0363	0.00565	0.02	0.04	0.06	0.22	0.35	0.54	0.03	0.04	0.05
58	0.0388	0.0138	0.361	0.106	0.0366	0.00574	0.02	0.04	0.06	0.22	0.36	0.54	0.03	0.04	0.05
59	0.0386	0.0139	0.359	0.107	0.037	0.00598	0.02	0.04	0.06	0.22	0.35	0.54	0.03	0.04	0.05
60	0.0386	0.0138	0.359	0.106	0.037	0.00584	0.02	0.04	0.06	0.22	0.35	0.54	0.03	0.04	0.05
61	0.0385	0.0137	0.358	0.105	0.0374	0.0059	0.02	0.04	0.06	0.22	0.35	0.54	0.03	0.04	0.05
62	0.0382	0.0135	0.355	0.104	0.0374	0.00584	0.02	0.04	0.06	0.23	0.35	0.53	0.03	0.04	0.05
63	0.0379	0.0135	0.355	0.103	0.0379	0.006	0.02	0.04	0.06	0.22	0.35	0.53	0.03	0.04	0.05
64	0.0378	0.0135	0.356	0.103	0.0383	0.00597	0.02	0.04	0.06	0.23	0.35	0.53	0.03	0.04	0.05
65	0.0378	0.0134	0.355	0.103	0.0383	0.00585	0.02	0.04	0.06	0.23	0.35	0.53	0.03	0.04	0.05
66	0.0376	0.0133	0.354	0.102	0.0388	0.00593	0.02	0.04	0.06	0.22	0.35	0.53	0.03	0.04	0.05
67	0.0374	0.013	0.353	0.101	0.0389	0.0059	0.02	0.04	0.06	0.22	0.34	0.52	0.03	0.04	0.05
68	0.0373	0.013	0.351	0.1	0.039	0.00603	0.02	0.04	0.06	0.22	0.34	0.52	0.03	0.04	0.05
