Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.365	0.535	0.487	0.471	0.114	0.0605	0.0	0.04	1.5	0.0	0.41	1.0	0.04	0.09	0.19
2	0.318	0.467	0.488	0.47	0.116	0.0506	0.0	0.04	1.3	0.0	0.44	1.0	0.05	0.12	0.18
3	0.277	0.407	0.488	0.469	0.109	0.0402	0.0	0.04	1.2	0.0	0.45	1.0	0.05	0.12	0.16
4	0.242	0.356	0.489	0.468	0.107	0.0367	0.0	0.03	1.0	0.0	0.47	1.0	0.06	0.12	0.16
5	0.211	0.311	0.488	0.466	0.102	0.0342	0.0	0.03	0.89	0.0	0.48	1.0	0.06	0.1	0.15
6	0.184	0.271	0.487	0.464	0.0994	0.0348	0.0	0.03	0.77	0.0	0.47	1.0	0.06	0.1	0.16
7	0.161	0.237	0.486	0.462	0.102	0.0372	0.0	0.03	0.68	0.0	0.47	1.0	0.06	0.09	0.17
8	0.14	0.207	0.484	0.46	0.0999	0.0394	0.0	0.03	0.59	0.0	0.48	1.0	0.07	0.09	0.17
9	0.122	0.18	0.482	0.457	0.1	0.0417	0.0	0.03	0.51	0.0	0.47	1.0	0.07	0.09	0.18
10	0.107	0.157	0.481	0.454	0.101	0.0448	0.0	0.03	0.45	0.0	0.48	1.0	0.07	0.09	0.19
11	0.0937	0.137	0.478	0.451	0.103	0.0466	0.0	0.03	0.39	0.0	0.48	1.0	0.06	0.09	0.19
12	0.0822	0.119	0.476	0.448	0.102	0.0475	0.0	0.03	0.34	0.0	0.48	1.0	0.06	0.08	0.2
13	0.0721	0.104	0.474	0.444	0.101	0.0493	0.0	0.03	0.3	0.0	0.48	1.0	0.06	0.08	0.2
14	0.0638	0.0903	0.472	0.439	0.103	0.0519	0.0	0.03	0.26	0.0	0.48	1.0	0.06	0.08	0.21
15	0.0567	0.0789	0.469	0.435	0.104	0.0531	0.0	0.03	0.23	0.0	0.46	1.0	0.06	0.09	0.21
16	0.0503	0.0684	0.464	0.43	0.104	0.0544	0.0	0.03	0.2	0.0	0.46	1.0	0.06	0.09	0.21
17	0.0452	0.06	0.462	0.424	0.106	0.056	0.0	0.03	0.17	0.0	0.44	1.0	0.06	0.09	0.22
18	0.0408	0.0525	0.459	0.418	0.103	0.0544	0.0	0.02	0.15	0.0	0.43	1.0	0.05	0.08	0.21
19	0.037	0.0461	0.455	0.412	0.105	0.0558	0.0	0.02	0.13	0.0	0.43	1.0	0.05	0.09	0.22
20	0.0337	0.0405	0.452	0.404	0.107	0.0573	0.0	0.02	0.11	0.0	0.44	1.0	0.05	0.09	0.22
21	0.031	0.0359	0.45	0.398	0.108	0.0575	0.0	0.02	0.1	0.0	0.42	0.99	0.05	0.09	0.23
22	0.0289	0.0322	0.448	0.39	0.107	0.0576	0.0	0.02	0.09	0.0	0.42	0.99	0.05	0.09	0.22
23	0.0271	0.0292	0.446	0.383	0.11	0.0594	7e-09	0.02	0.08	3e-06	0.42	0.97	0.05	0.09	0.23
24	0.0256	0.0268	0.444	0.376	0.11	0.0598	6e-08	0.02	0.07	4e-05	0.42	0.97	0.05	0.09	0.23
25	0.0243	0.0249	0.442	0.367	0.11	0.0598	1e-06	0.02	0.07	0.0006	0.41	0.95	0.05	0.09	0.23
26	0.0234	0.0236	0.439	0.361	0.112	0.0603	5e-06	0.02	0.06	0.003	0.41	0.94	0.05	0.1	0.23
27	0.0225	0.0224	0.439	0.354	0.112	0.0602	3e-05	0.02	0.06	0.01	0.39	0.94	0.05	0.1	0.22
28	0.0218	0.0215	0.438	0.347	0.112	0.0603	9e-05	0.02	0.06	0.04	0.4	0.94	0.05	0.1	0.23
29	0.0212	0.0207	0.437	0.341	0.114	0.0612	0.0001	0.02	0.06	0.05	0.4	0.93	0.05	0.1	0.23
30	0.0207	0.0201	0.435	0.336	0.115	0.0616	0.0002	0.02	0.05	0.05	0.4	0.93	0.05	0.1	0.23
31	0.0202	0.0196	0.434	0.331	0.115	0.062	0.0002	0.02	0.05	0.05	0.39	0.92	0.05	0.1	0.23
32	0.0198	0.0192	0.434	0.325	0.115	0.0616	0.0002	0.02	0.05	0.06	0.39	0.92	0.05	0.1	0.23
33	0.0195	0.0188	0.436	0.323	0.116	0.0619	0.0002	0.02	0.05	0.06	0.39	0.92	0.05	0.1	0.24
34	0.0191	0.0183	0.431	0.316	0.117	0.0622	0.0003	0.02	0.05	0.07	0.4	0.91	0.05	0.1	0.24
35	0.0188	0.0181	0.43	0.315	0.119	0.0631	0.0003	0.02	0.05	0.07	0.4	0.91	0.05	0.1	0.24
36	0.0186	0.0179	0.431	0.313	0.118	0.0619	0.0003	0.02	0.05	0.07	0.4	0.91	0.05	0.1	0.24
37	0.0183	0.0175	0.429	0.308	0.118	0.0619	0.0003	0.02	0.05	0.07	0.4	0.9	0.05	0.1	0.24
38	0.018	0.0172	0.427	0.307	0.121	0.0632	0.0003	0.02	0.05	0.07	0.39	0.91	0.05	0.11	0.24
39	0.0178	0.017	0.428	0.306	0.122	0.0628	0.0004	0.01	0.05	0.08	0.39	0.9	0.05	0.11	0.25
40	0.0176	0.0167	0.426	0.305	0.122	0.0629	0.0004	0.01	0.05	0.08	0.4	0.91	0.05	0.11	0.25
41	0.0175	0.0166	0.427	0.303	0.122	0.0633	0.0004	0.01	0.04	0.08	0.4	0.9	0.05	0.11	0.25
42	0.0173	0.0164	0.428	0.3	0.123	0.0631	0.0005	0.01	0.04	0.08	0.39	0.9	0.05	0.11	0.24
43	0.0171	0.0163	0.426	0.298	0.126	0.064	0.0005	0.01	0.04	0.08	0.39	0.9	0.06	0.11	0.25
44	0.017	0.0161	0.425	0.298	0.125	0.0637	0.0005	0.01	0.04	0.08	0.39	0.9	0.06	0.11	0.25
45	0.0169	0.0159	0.424	0.296	0.125	0.0628	0.0005	0.01	0.04	0.08	0.38	0.9	0.06	0.11	0.25
46	0.0166	0.0157	0.423	0.293	0.128	0.0633	0.0005	0.01	0.04	0.08	0.4	0.9	0.06	0.12	0.25
47	0.0165	0.0155	0.423	0.29	0.128	0.0636	0.0006	0.01	0.04	0.09	0.38	0.89	0.06	0.12	0.25
48	0.0163	0.0153	0.423	0.289	0.129	0.0633	0.0006	0.01	0.04	0.09	0.37	0.9	0.06	0.12	0.25
49	0.0161	0.0151	0.421	0.29	0.13	0.0636	0.0007	0.01	0.04	0.09	0.37	0.9	0.06	0.12	0.25
50	0.016	0.0149	0.421	0.289	0.131	0.0635	0.0007	0.01	0.04	0.09	0.37	0.9	0.06	0.12	0.26
51	0.0158	0.0147	0.42	0.287	0.131	0.0628	0.0007	0.01	0.04	0.09	0.37	0.9	0.06	0.12	0.26
52	0.0155	0.0145	0.419	0.285	0.133	0.0634	0.0007	0.01	0.04	0.09	0.36	0.9	0.06	0.12	0.26
53	0.0155	0.0145	0.421	0.283	0.132	0.0629	0.0008	0.01	0.04	0.09	0.36	0.9	0.06	0.12	0.25
54	0.0154	0.0143	0.423	0.281	0.134	0.0629	0.0008	0.01	0.04	0.1	0.35	0.9	0.06	0.12	0.26
55	0.0152	0.014	0.422	0.279	0.135	0.0628	0.0009	0.01	0.04	0.1	0.36	0.9	0.06	0.12	0.25
56	0.0149	0.0138	0.421	0.277	0.137	0.0627	0.001	0.01	0.04	0.1	0.37	0.89	0.06	0.13	0.26
57	0.0148	0.0136	0.42	0.277	0.138	0.0623	0.001	0.01	0.04	0.1	0.35	0.89	0.06	0.13	0.26
58	0.0146	0.0135	0.419	0.277	0.139	0.0623	0.001	0.01	0.04	0.1	0.36	0.89	0.07	0.13	0.26
59	0.0145	0.0132	0.42	0.275	0.14	0.0624	0.001	0.01	0.04	0.11	0.36	0.89	0.07	0.13	0.26
60	0.0143	0.0131	0.419	0.276	0.143	0.0633	0.001	0.01	0.04	0.1	0.37	0.89	0.07	0.13	0.26
61	0.0142	0.013	0.42	0.274	0.142	0.0619	0.001	0.009	0.04	0.11	0.35	0.89	0.07	0.13	0.26
62	0.014	0.0128	0.42	0.272	0.145	0.0626	0.001	0.009	0.04	0.11	0.35	0.89	0.07	0.13	0.26
63	0.0139	0.0126	0.421	0.27	0.144	0.0611	0.001	0.009	0.04	0.11	0.36	0.89	0.07	0.13	0.26
64	0.0138	0.0124	0.42	0.269	0.146	0.0609	0.001	0.009	0.03	0.11	0.35	0.88	0.07	0.14	0.26
65	0.0136	0.0122	0.419	0.269	0.148	0.0611	0.001	0.009	0.03	0.11	0.35	0.89	0.08	0.14	0.26
66	0.0135	0.012	0.421	0.265	0.149	0.0609	0.001	0.009	0.03	0.12	0.35	0.89	0.08	0.14	0.26
67	0.0133	0.0117	0.421	0.264	0.151	0.0614	0.001	0.009	0.03	0.12	0.36	0.9	0.08	0.14	0.26
68	0.0132	0.0115	0.422	0.263	0.154	0.0614	0.001	0.009	0.03	0.12	0.37	0.89	0.08	0.14	0.27
69	0.013	0.0113	0.421	0.263	0.154	0.0609	0.001	0.009	0.03	0.12	0.36	0.9	0.08	0.15	0.26
70	0.0129	0.0112	0.422	0.259	0.156	0.0605	0.002	0.008	0.03	0.13	0.35	0.89	0.08	0.15	0.26
71	0.0127	0.011	0.421	0.258	0.158	0.0598	0.002	0.008	0.03	0.12	0.36	0.89	0.09	0.15	0.27
72	0.0126	0.0108	0.423	0.257	0.156	0.0581	0.002	0.009	0.03	0.13	0.37	0.88	0.09	0.15	0.26
73	0.0124	0.0106	0.422	0.254	0.16	0.0585	0.002	0.008	0.03	0.13	0.36	0.9	0.09	0.15	0.26
